date,berlin_1_brightness_mean,berlin_2_brightness_mean,berlin_3_brightness_mean,berlin_4_brightness_mean,fremont_1_brightness_mean,fremont_2_brightness_mean,fremont_3_brightness_mean,fremont_4_brightness_mean,fremont_5_brightness_mean,fremont_6_brightness_mean,fremont_7_brightness_mean,fremont_8_brightness_mean,giga_tx_east_brightness_mean,giga_tx_north_brightness_mean,giga_tx_west_brightness_mean,giga_tx_west_small_brightness_mean,berlin_1_brightness_std,berlin_2_brightness_std,berlin_3_brightness_std,berlin_4_brightness_std,fremont_1_brightness_std,fremont_2_brightness_std,fremont_3_brightness_std,fremont_4_brightness_std,fremont_5_brightness_std,fremont_6_brightness_std,fremont_7_brightness_std,fremont_8_brightness_std,giga_tx_east_brightness_std,giga_tx_north_brightness_std,giga_tx_west_brightness_std,giga_tx_west_small_brightness_std,berlin_1_bright_pixel_frac,berlin_2_bright_pixel_frac,berlin_3_bright_pixel_frac,berlin_4_bright_pixel_frac,fremont_1_bright_pixel_frac,fremont_2_bright_pixel_frac,fremont_3_bright_pixel_frac,fremont_4_bright_pixel_frac,fremont_5_bright_pixel_frac,fremont_6_bright_pixel_frac,fremont_7_bright_pixel_frac,fremont_8_bright_pixel_frac,giga_tx_east_bright_pixel_frac,giga_tx_north_bright_pixel_frac,giga_tx_west_bright_pixel_frac,giga_tx_west_small_bright_pixel_frac,berlin_1_nir_red_ratio,berlin_2_nir_red_ratio,berlin_3_nir_red_ratio,berlin_4_nir_red_ratio,fremont_1_nir_red_ratio,fremont_2_nir_red_ratio,fremont_3_nir_red_ratio,fremont_4_nir_red_ratio,fremont_5_nir_red_ratio,fremont_6_nir_red_ratio,fremont_7_nir_red_ratio,fremont_8_nir_red_ratio,giga_tx_east_nir_red_ratio,giga_tx_north_nir_red_ratio,giga_tx_west_nir_red_ratio,giga_tx_west_small_nir_red_ratio,berlin_1_color_std,berlin_2_color_std,berlin_3_color_std,berlin_4_color_std,fremont_1_color_std,fremont_2_color_std,fremont_3_color_std,fremont_4_color_std,fremont_5_color_std,fremont_6_color_std,fremont_7_color_std,fremont_8_color_std,giga_tx_east_color_std,giga_tx_north_color_std,giga_tx_west_color_std,giga_tx_west_small_color_std,berlin_1_n_imgs,berlin_2_n_imgs,berlin_3_n_imgs,berlin_4_n_imgs,fremont_1_n_imgs,fremont_2_n_imgs,fremont_3_n_imgs,fremont_4_n_imgs,fremont_5_n_imgs,fremont_6_n_imgs,fremont_7_n_imgs,fremont_8_n_imgs,giga_tx_east_n_imgs,giga_tx_north_n_imgs,giga_tx_west_n_imgs,giga_tx_west_small_n_imgs
2022-01-01,937.3411854422276,2384.7692040607135,1436.624620048438,750.6235173083517,1325.0476841215761,1340.719407870268,1536.9781958304154,969.8237766871677,1459.204413000461,1375.900470999866,1030.4272364980989,1435.450641983827,1469.8364367389504,1672.5977924266222,2721.202057829738,2522.244256305767,370.6069656515979,1703.9221389485124,1031.1391194032756,146.06429743450852,251.70159367699537,285.5049013693444,467.79437052117805,171.7612446111387,325.39944427786287,157.87073203047154,156.5805916483129,242.13993009846146,732.2159185611024,323.61376716737135,378.91128166181056,361.74153340989994,0.04117978665761807,0.5548592969809201,0.2202296776710392,0.0,0.2091222371860889,0.29874284013985003,0.4516483308401659,0.0,0.4159551110026837,0.16100121114251115,0.0,0.5192135219041049,0.4433168973013095,0.6669512944873286,0.9987344785675799,1.0,1.1472146606656088,1.0604955541615542,1.1305694731162437,1.9773883197036948,1.1630574903532662,1.2858553736493377,1.153514289430377,2.030848150221859,1.2036251718303217,1.093892440098214,1.2501171323720401,1.3966407617275345,1.6451817473237478,1.2159622092409075,1.1833192423566419,1.2121656960100982,108.20150047155508,139.34203451921374,167.59711433744752,104.42397543257853,121.73680025711994,116.88571073729261,142.36018432095153,167.92739029497739,139.79828344918602,152.16557834335177,78.71649314404351,75.0978631649216,448.508551330815,207.3780971158479,558.058407183705,518.6618934008326,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0
2022-02-01,,,,,1477.8337327365384,1403.0612338515703,1413.7330164801526,1712.1157565591936,1428.1785801414987,1228.9070649979817,911.5058407387345,1297.9165880955127,1238.1515372697347,1593.7213322859038,2120.6455763134522,2454.4189910770738,,,,,247.5051838232839,240.43967405606998,415.8632731646627,1125.632815031784,240.61994346637366,157.38329928017347,96.78613078588896,205.40081419905383,554.0489607852955,336.01035514612767,453.3286102948189,433.39480757713415,,,,,0.42053196545987487,0.3002120062486055,0.2687981670485315,0.25731502764490277,0.37533544767016364,0.02236576503835285,0.0,0.11437277222030585,0.2741742219394518,0.5711455700525995,0.9132278314475806,1.0,,,,,1.158399889423393,1.3029497448232121,1.1520936815747957,1.161868580259796,1.1724290960393842,1.1041920834687209,1.2277022074427573,1.3892533614046294,1.5627076828481574,1.2372551844715771,1.2367310527798396,1.238201749197465,,,,,122.2333689391368,127.58926062703237,121.90741757739858,148.92200619693935,132.73566524078498,127.93575515589828,93.1548635355844,76.68877457019417,382.14455321263756,192.79849289881525,520.0848689723234,538.47279757372,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0
2022-03-01,1351.513547350744,2868.7309612777385,1904.8332215828727,920.7495483686242,1485.100606696772,1384.1829421756065,1453.7871324155951,1430.5968399908882,1400.291683608469,1304.2636118961116,948.3405013607221,1417.21991299682,1410.8109149391146,1819.7975499237211,1202.1924152246836,2450.399119417315,419.96809214837253,1386.5236018991195,724.2654972127398,162.15360978272227,249.61900394386308,212.30810678867581,467.1017320765565,497.6460630749109,204.28166545991115,189.0066750965704,97.01227139030578,211.33538338217835,624.0922894245132,309.17960380732677,386.6584184087915,386.76642269055014,0.3456524237730649,0.9873516087430971,0.8464914419466522,0.0024517894858292976,0.43702962845599314,0.28096407051997346,0.33841434549620353,0.21879853388830217,0.32568919248597233,0.06419055308841341,0.0,0.42031735081062443,0.40754643620875525,0.9283762552086893,0.16864514027240057,1.0,1.160220056989927,1.103574237507942,1.1641808721281817,1.848781331156734,1.206110416861246,1.3538619669094836,1.174940169829346,1.1949136757518708,1.1905420325261542,1.1173819136895706,1.218028841519474,1.3402923852435602,1.6869050654001654,1.2044156285243264,1.1759911487731938,1.2531992208905496,159.51575091475627,219.7180659175168,246.14649971878205,164.42895012151055,115.78095415557426,125.40127352851785,116.5794099991561,139.4614158637573,130.0995424663384,123.70603861869294,92.67833751756145,75.18578105162406,421.8188963067333,265.4782346623815,176.2374741980084,667.9439326134908,6.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0
2022-04-01,1258.534482963083,2028.181547126968,2185.2499207587643,1935.7787422907497,1533.1285121075293,1411.2050571549012,1462.3641476207606,1705.9013894928657,1442.5117101732128,1434.883703404656,1049.5080941204792,1581.342934345177,1478.5947769942711,1774.5184666530054,1144.640480396948,3769.2204969671425,352.54061504805344,985.2025997361199,901.0066687002505,1920.2623620369566,275.74517751589366,231.22338872074664,488.78617301160057,317.9904810539787,243.53423676336612,268.410245831945,127.7728753000911,194.68997374135324,664.8705186788612,187.5505258753841,223.14512076228186,253.58432051842362,0.2017776707477944,0.529413709864092,0.9638538060174575,0.2243884147338126,0.5209934247009427,0.3040429963549805,0.29619776182992175,0.6444679132757655,0.40314710905098805,0.188292289059346,0.003380072616396863,0.7411291249856273,0.4547903080430518,0.9447708176788033,0.06914007192171318,1.0,1.160446825135862,1.053772469700731,1.129474130711664,1.8459039048827928,1.2224894337336267,1.4153885102987214,1.2209966690224259,1.1911901132066904,1.197497505533563,1.1036800799467614,1.2197793371156012,1.2197664238557318,1.948258774950108,1.2244776677268778,1.1999745253410279,1.1512745717259791,119.81192814410483,80.37075109691136,218.88981165688213,220.06294534759274,156.35342156467505,164.39449422366027,149.58162204560216,153.18842415203264,176.42723094481752,127.59217480214588,117.24692249035714,98.56082154267455,428.5449504873576,242.47052392086567,126.3390870088202,499.2711437875312,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0
2022-05-01,,,,,1684.5681923208956,1620.0578429913962,1615.0403640655659,1728.1504214035733,1691.2932964679742,3226.9093796258926,1179.9897126771111,1717.4133532635776,1503.1360149397053,1865.6468451852345,1456.2057019467316,3588.277898779831,,,,,249.04038811195161,220.77375706194874,530.3694582871104,293.5006998717881,208.7990056446767,1076.3851235688705,149.99070797668804,147.5838082911635,726.4210469834202,247.8240065383823,351.6703734325523,229.04439942912836,,,,,0.7798166046106315,0.6754072751617946,0.5817064626687622,0.806858420823756,0.794949987801903,0.9164311667339524,0.008043971033680368,0.9191445325974474,0.46688581376031657,0.9144067217706128,0.4432156774298646,1.0,,,,,1.1851408471516351,1.2983303493782643,1.1953045102696551,1.1664255111029274,1.1469062631896205,1.017826674155443,1.1529815729474315,1.1164753221572823,2.4426150906970916,1.2111811757787467,1.1726635466644877,1.162161268796249,,,,,139.315997373122,155.35390678901746,126.77728313398563,166.9249099156881,141.64691502041103,134.29532590341935,105.63997614576337,99.88523888383209,423.0290829724551,190.87009926982614,155.5284710929859,487.51041359032655,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0
2022-06-01,1512.031329075257,3463.7591680169335,2319.7492726061005,979.6831337181387,1648.4574189970679,1607.1120471620932,1516.3266869907136,1532.7315441800747,1639.82272098886,3129.0444354730184,1213.5179468148426,1728.014955348588,1693.5239748098677,2007.627604344559,1541.2096605645945,4094.6343474086066,328.32934307039557,1824.641999836509,750.2630970779065,184.19499585687717,267.375169246261,229.51774896403592,553.206679240237,250.12850666168785,166.14302259403468,1024.335755554929,187.47767609599686,181.85929763512868,801.4390736477873,226.8493891392328,331.98011114686335,316.08942947287807,0.5637372681447791,1.0,0.9844565270395474,0.010505837822939134,0.7094787293036521,0.6344565945101541,0.44860919126697096,0.5246319189911163,0.7570139058306906,0.900928542591845,0.07160337806663859,0.8925606530987698,0.5108848947563754,0.9545050891454334,0.4946184014334227,1.0,1.1895006772435497,1.0754094166849082,1.1193436680027116,1.9690700198504445,1.1656095226883347,1.2721464741832649,1.1875946480557067,1.1757102494090654,1.1436621514434517,1.03061564995322,1.1418542687228035,1.104072303124439,2.069628932587775,1.1451601460515595,1.1240812241034643,1.0901644103101165,216.4815029338167,249.54455991045495,252.12373033193688,149.1490633630151,145.04337764685928,173.41786790696096,131.7186861928212,182.46593338592308,158.13835193725566,138.5407332363706,114.35096155285186,108.61895907812928,476.2404603047551,192.10768184782884,183.56582479267647,545.4984964058775,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0
2022-07-01,1172.1779951216306,3390.4216736659973,2173.824990653595,975.2798554779577,,,,,,,,,1822.08697606466,2009.2315390395527,1628.2556846136827,4006.722616454719,338.0088332063853,1921.0420659389974,763.3914751917295,244.64051103893502,,,,,,,,,780.7494000976358,178.91705162187637,319.0018716579141,276.05798008609094,0.16935214628566547,1.0,0.9736065733651923,0.06165369194627218,,,,,,,,,0.5421380980153048,0.9956622720131156,0.5999047726446898,1.0,1.1782296983984195,1.082597566135496,1.0953578973842728,1.848543661725871,,,,,,,,,1.7363606748597986,1.1007187604753375,1.09356233227908,1.0760515925066856,152.20737797562037,318.6708677081124,246.21130270345742,155.6455493175122,,,,,,,,,495.42963534023943,193.9544052839016,185.81858080592156,497.6100438749936,2.0,2.0,2.0,2.0,,,,,,,,,6.0,6.0,6.0,6.0
2022-08-01,1347.435814847863,2543.2023742601095,2143.1579867037262,1012.2780104930174,1549.163517652961,1528.7574636117927,1412.4863349175982,1109.2419498457273,1580.2723021875252,2548.3820750908358,1022.0831878999418,1526.6957801540761,1755.3183512126695,1754.847576109479,1376.0607107803246,3995.862947610014,550.5875833850743,941.3497961873833,547.2610996730198,196.1563050018966,290.13485784004547,270.02209700357764,520.433105357019,159.0943398896559,200.52976622996448,785.9390630564661,138.1741890988858,177.45518607667768,768.306750764194,147.88905656907212,303.2208331781205,284.53256068373304,0.3054331704166712,0.9864587811249629,0.9689130540790949,0.017989404423476924,0.4956032638833876,0.49609462173621993,0.32405180738861233,0.003044045474311984,0.6538586647149712,0.8345579329834478,0.0,0.5707715304127859,0.5009349097785553,0.9307329735637682,0.3484243631670619,1.0,1.2398004502130013,1.1147537371922593,1.1114032338085795,1.7413088823174387,1.1317991054709375,1.2164242639457905,1.1630491880789537,1.120488233496037,1.1199696948717583,1.0366263070833337,1.1442167858716732,1.1061470693445428,1.672045539052984,1.125407676172245,1.1473956116518134,1.068746378352349,141.69990180367907,238.8765514347222,227.10866450682647,167.5636976659679,150.0619001823235,180.9503604347914,139.96291439349915,146.16478757694972,158.94643489641484,143.59360111828647,111.90933720735258,114.99290017763617,499.5050802356842,182.7722104056626,149.77270649253748,472.56647949839385,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0
2022-09-01,3414.837052321269,4307.509223129747,2438.2938935485467,1935.1434115235156,1484.0425562465327,1433.9915135510437,1413.4631784413587,1042.1847031537964,1526.4734488086538,2108.809796797202,994.0768306219195,1428.233482810165,1477.1875781300641,1529.1400255026538,1372.913142628027,1166.435086301788,267.97026889531537,624.9826876771174,1043.9794126662039,2185.4366429225024,284.7189818197043,259.99586259479383,430.61952815500496,129.67228720608108,126.45023113600664,603.1868190330351,86.40894355121958,126.94960960170117,758.5437586926174,163.15786829411888,204.3797358561362,331.0933933347704,1.0,1.0,0.8258399570878235,0.23532692128954513,0.433890517309673,0.384270624116641,0.2908484974721175,0.0,0.6103521184028626,0.7627775534921276,0.0,0.3173508106243532,0.4540763126734178,0.6644921101168114,0.24825520931223338,0.13921871706597352,1.1393404838420127,1.1752670550929878,1.0452981813544893,1.6532253038923295,1.1333979805292722,1.261927095597481,1.1344874908497558,1.1160671570283731,1.1133568467627182,1.0290746017295938,1.117648935651267,1.0944325781251019,2.0025866224936886,1.1623724478823314,1.1243679676800458,1.142983310660411,83.59609813718538,111.37235870802772,203.9970954149979,261.26400946525985,113.36934370083064,135.15363671410412,105.10582484483558,116.75933702194038,128.3772233893367,136.41107146438262,79.69259114425309,91.46489697702957,415.55909463442674,147.66895509887019,134.7706426971968,150.9653030632791,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0
2022-10-01,963.3151803485697,1999.9788036109903,2027.5566859283806,700.9818134909306,1463.8057580078705,1395.748797391455,1421.5702915427967,1037.0041001428835,1408.4329240194086,1867.9058000269142,923.595019825747,1345.0980491357172,1348.4572191883308,1547.6412721725085,1346.9683757470987,1353.2016704138273,141.0980554404499,991.773449278953,1274.2569924607762,200.56109567958904,352.4907534135932,338.6609954115114,483.63140789865525,127.79815842879216,232.71368280199084,648.9189697010088,108.46364020109836,178.8971921224685,690.8190521651969,172.42287019632505,188.79610359041945,258.9904454591772,0.004186940030977912,0.5694917496114549,0.5253206222265567,0.0024517894858292976,0.42904816604610607,0.32866547645614835,0.28443884796727953,0.005528980555382991,0.28445962429860955,0.5533306419055308,0.0,0.22123720823272391,0.4311719067564463,0.6306441696837217,0.2218596900098989,0.25131736106232005,1.193689557704148,1.0789797614970338,1.065973858665352,2.1481849296816486,1.204786719699369,1.3375537406430273,1.1995526230591056,1.1458199886982074,1.143048552109254,1.0598504463216438,1.1920612072667927,1.1118998823099493,1.8601143523654975,1.169421652995667,1.136907751357555,1.1316463620961146,132.7777086299403,203.40325501096248,183.07545369252455,113.03033997315525,119.42045316342848,130.92289414822054,122.64653884686986,120.74968340651031,135.35026234311871,142.6735319722869,92.85660178552877,95.60807183069895,408.13839864992366,156.43947115595012,143.52111741591952,163.62701510613883,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0
